Personal Opinion: DOBBS V. JACKSON (Group A),Court Ruling: DOBBS V. JACKSON (Group A),Personal Opinion: DOBBS V. JACKSON (GROUP B),Court Ruling: DOBBS V. JACKSON (Group B),Personal Opinion: ROE V. WADE,Court Ruling: ROE V. WADE,Personal Opinion: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group A),Court Ruling: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group A),Personal Opinion: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group B),Court Ruling: NY STATE RIFLE AND PISTOL ASSOCIATION V. BRUEN (Group B),Personal Opinion: CARSON V. MAKIN (Group A),Court Opinion: CARSON V. MAKIN (Group A),Personal Opinion: CARSON V. MAKIN (Group B),Court Opinion: CARSON V. MAKIN (Group B),Personal Opinion: U.S. V. ZUBAYDAH (GROUP A),Court Ruling: : U.S. V. ZUBAYDAH (GROUP A),Personal Opinion: U.S. V. ZUBAYDAH (GROUP B),Court Ruling: U.S. V. ZUBAYDAH (GROUP B),Personal Opinion: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group A),Court Ruling: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group A),Personal Opinion: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group B),Court Ruling: HOUSTON COMMUNITY COLLEGE SYSTEM V. WILSON (Group B),Personal Opinion: RAMIREZ V. COLLIER (Group A),Court Ruling: RAMIREZ V. COLLIER (Group A),Personal Opinion: RAMIREZ V. COLLIER (Group B),Court Ruling: RAMIREZ V. COLLIER (Group B),Personal Opinion: SHURTLEFF V. BOSTON (Group A),Court Ruling: SHURTLEFF V. BOSTON (Group A),Personal Opinion: SHURTLEFF V. BOSTON (Group B),Court Ruling: SHURTLEFF V. BOSTON (Group B),"Personal Opinion: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group A)","Court Ruling: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group A)","Personal Opinion: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group B)","Court Ruling: NATIONAL FEDERATION OF INDEPENDENT BUSINESSES V. DOL, OSHA (Group B)",Personal Opinion: BIDEN V. MISSOURI (Group A),Court Opinion: BIDEN V. MISSOURI (Group A),Personal Opinion: BIDEN V. MISSOURI (Group B),Court Opinion: BIDEN V. MISSOURI (Group B),Personal Opinion: WEST VIRGINIA V. EPA (Group A),Court Ruling: WEST VIRGINIA V. EPA (Group A),Personal Opinion: WEST VIRGINIA V. EPA (Group B),Court Ruling: WEST VIRGINIA V. EPA (Group B),Personal Opinion: TRUMP V. THOMPSON (Group A),Court Ruling: TRUMP V. THOMPSON (Group A),Personal Opinion: TRUMP V. THOMPSON (Group B),Court Ruling: TRUMP V. THOMPSON (Group B),Personal Opinion: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group A),Court Ruling: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group A),Personal Opinion: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group B),Court Ruling: KENNEDY V. BREMERTON SCHOOL DISTRICT (Group B),Personal Opinion: BIDEN V. TEXAS (Group A),Court Ruling: BIDEN V. TEXAS (Group A),Personal Opinion: BIDEN V. TEXAS (Group B),Court Ruling: BIDEN V. TEXAS (Group B),Personal Opinion: OKLAHOMA V. CASTRO-HUERTA (Group A),Court Ruling: OKLAHOMA V. CASTRO-HUERTA (Group A),Personal Opinion: OKLAHOMA V. CASTRO-HUERTA (Group B),Court Ruling: OKLAHOMA V. CASTRO-HUERTA (Group B),Typical Court Votes,Justice Tenure,Last Say in Conflict of Meaning,Justice Selection,Current Chief Justice,Most Recent Justice,Republican Appointed Justices,Appointing President Partisanship Effects,How much do you approve of the performance of the Supreme Court?,Judges at odds with the people should be removed,U.S. Supreme Court is too independent,"If the U.S. Supreme Court started making a lot of decisions that most people disagree with, it might be better to do away with the Supreme Court altogether",The U.S. Supreme Court gets too mixed up in politics,The U.S. Supreme Court can be trusted to make right decisions,Respondent Ideology,Court Ideology,Increase Court Size,Limit Court Terms,Closeness to Ketanji Brown Jackson,Senate and Consideration to Nominees,Should Ketanji Brown Jackson be Approved,"Appropriateness of ""Shadow Docket"" Rulings",Political Interest,Most watched cable news network,Ideology - 3 categories,Ideology - 5 categories,Voter Registration Status,Voter Registration - 2 categories,Party ID - 3 categories,Party ID - 7 categories,2020 Turnout,2020 President Vote Post Election,Gender,Birth Year,Age,Age - 4 categories,Race,Race - 4 categories,Educational Attainment,Education - 4 categories,Marital Status,Children Under 18,State of Residence,Census Region,Area Type,Own or Rent Home,Employment status among non-students,Family income,Family Income - 3 categories,Military Household - I am,Military Household - Family,Military Household - I served previously,Military Household - Family served previously,Military Household - None,"Yes, I am","Yes, household member is",No,Volunteer Activities,Importance of Religion,Church Attendance,Born Again,Prayer Frequency,Affiliation,A/B Randomization,Questionnaire Start Time,Questionnaire End Time,Questionnaire Last Modified Time,Case ID,weight
.,.,1,1,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,2,2,2,2,4,5,6,3,3,4,4,5,2,2,42.0,75.0,2,4,1,1,1,2,1,1,2,3,1,1,3,3,1,1,2,1949.0,72.0,4,1,1,6,4,5,2,48,3,2,1,5,7,2,2,2,2,1,2,2,2,1,2,1,5,1,1,1,2,2022-03-31 11:34:37.878000,2022-03-31 11:59:06.282000,2022-03-31 11:58:58.855000,1770031947.0,0.764722377257782
2,2,.,.,2,2,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,1,.,.,1,1,.,.,2,1,.,.,1,1,2,2,4,4,5,2,2,3,2,3,2,2,51.0,41.0,4,2,3,1,1,2,2,5,2,3,1,1,3,4,1,1,2,1955.0,66.0,4,1,1,3,2,4,2,48,3,4,1,5,3,1,2,2,2,2,1,2,2,1,2,1,5,1,1,1,1,2022-03-31 11:38:10.002000,2022-03-31 11:59:51.334000,2022-03-31 11:59:44.083000,1770032283.0,0.849443302718046
.,.,2,2,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,5,2,2,2,4,5,10,1,5,2,2,2,2,2,100.0,25.0,5,1,2,1,2,1,1,5,3,5,1,1,2,7,1,2,2,1960.0,62.0,3,1,1,2,1,1,2,36,1,4,1,5,4,1,2,2,2,2,1,2,2,1,2,1,6,1,1,1,2,2022-03-31 11:52:16.424000,2022-03-31 12:02:44.932000,2022-03-31 12:02:41.218000,1770038967.0,0.99545697589066
2,1,.,.,1,1,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,.,.,.,1,1,.,.,2,2,.,.,1,2,2,2,2,3,9,3,3,2,4,3,3,3,54.0,58.0,1,1,1,1,2,2,1,1,3,5,1,1,2,6,1,2,2,1989.0,33.0,2,1,1,5,3,1,1,25,1,1,2,.,6,2,2,1,2,2,2,1,2,2,1,1,1,1,3,3,1,2022-03-31 11:55:33.150000,2022-03-31 12:03:19.691000,2022-03-31 12:03:03.456000,1770039251.0,1.15378611343268
2,2,.,.,1,2,1,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,2,2,2,4,5,6,3,5,4,3,3,1,5,100.0,32.0,5,2,2,1,2,2,1,4,3,5,1,1,4,5,1,2,2,1946.0,75.0,4,1,1,5,3,3,2,42,1,2,1,3,3,1,2,2,2,2,1,2,2,1,1,1,2,2,1,2,1,2022-03-31 11:41:49.525000,2022-03-31 12:04:24.003000,2022-03-31 12:04:13.332000,1770032685.0,1.14700333102256
.,.,2,2,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,1,2,2,2,4,5,6,2,2,5,5,5,3,1,98.0,55.0,5,4,2,2,2,1,1,2,3,4,1,1,2,7,1,2,1,1972.0,49.0,3,1,1,2,1,1,1,18,2,1,1,5,3,1,2,1,2,2,2,2,2,1,2,1,5,1,1,1,2,2022-03-31 11:48:20.462000,2022-03-31 12:04:35.480000,2022-03-31 12:04:27.361000,1770035913.0,1.05955593801084
.,.,2,2,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,3,2,2,2,4,1,5,2,3,3,3,3,2,3,100.0,51.0,5,2,3,1,2,2,2,2,3,5,2,2,2,7,2,6,2,1960.0,61.0,3,1,1,2,1,3,2,12,3,2,2,4,3,1,2,2,2,1,2,2,2,1,2,3,6,1,7,11,2,2022-03-31 11:51:19.358000,2022-03-31 12:04:37.326000,2022-03-31 12:04:34.033000,1770036547.0,0.77125948059544
1,1,.,.,2,2,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,2,2,2,4,5,4,1,4,2,2,2,1,3,50.0,67.0,2,1,1,1,1,2,3,5,4,6,1,1,3,3,1,1,2,1987.0,34.0,2,1,1,3,2,5,2,25,1,2,3,1,97,4,2,2,2,2,1,2,2,1,2,3,6,2,6,2,1,2022-03-31 11:47:55.081000,2022-03-31 12:04:42.581000,2022-03-31 12:04:39.649000,1770035869.0,1.1684141833047
2,2,.,.,1,1,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,2,2,4,5,6,1,1,5,5,5,3,1,56.0,54.0,5,5,2,1,1,1,1,5,2,3,1,1,3,4,1,5,1,1945.0,76.0,4,7,4,5,3,1,2,45,3,4,1,.,97,4,2,2,1,2,2,2,2,1,1,2,4,2,5,1,1,2022-03-31 11:51:48.999000,2022-03-31 12:04:48.639000,2022-03-31 12:04:48.035000,1770038717.0,1.10340935266192
1,1,.,.,2,2,2,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,2,2,4,5,7,1,4,2,4,4,2,3,4.0,89.0,1,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1958.0,63.0,3,7,4,5,3,1,2,18,2,3,1,2,4,1,2,2,2,2,1,2,1,2,2,1,2,2,3,1,1,2022-03-31 11:58:15.744000,2022-03-31 12:06:13.427000,2022-03-31 12:06:10.629000,1770039533.0,0.923353522053331
.,.,1,2,2,1,.,.,2,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,2,2,2,2,4,5,6,2,4,4,3,4,2,3,40.0,98.0,4,1,1,1,1,2,1,5,2,3,1,1,3,3,1,1,2,1954.0,67.0,4,1,1,6,4,1,2,8,4,1,1,5,10,3,2,2,2,1,2,2,2,1,2,4,6,2,7,9,2,2022-03-31 11:30:46.495000,2022-03-31 12:06:36.092000,2022-03-31 12:06:30.745000,1770030233.0,0.956089637130808
.,.,2,2,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,2,3,2,3,4,4,5,3,3,3,3,3,3,3,95.0,52.0,3,3,3,1,1,2,4,5,3,5,2,2,2,7,2,6,1,1961.0,61.0,3,1,1,3,2,3,2,37,3,4,2,6,1,1,2,2,1,1,2,2,2,1,2,1,1,1,1,1,2,2022-03-31 11:59:25.871000,2022-03-31 12:09:17.041000,2022-03-31 12:09:09.646000,1770039639.0,1.1282374231277
.,.,1,1,2,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,1,2,2,3,2,4,5,6,3,3,4,4,3,2,2,51.0,47.0,4,2,2,1,1,2,4,5,2,3,2,2,2,6,2,6,2,1958.0,64.0,3,1,1,4,2,1,2,42,1,2,1,5,6,2,2,2,2,1,2,2,2,1,2,2,5,2,2,1,2,2022-03-31 11:40:55.296000,2022-03-31 12:10:00.543000,2022-03-31 12:09:56.367000,1770032597.0,0.664719720513809
.,.,2,1,1,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,2,2,3,2,2,4,2,9,2,3,3,3,3,3,3,57.0,56.0,3,3,3,2,2,1,7,5,1,2,2,2,3,4,2,6,2,1970.0,51.0,3,1,1,2,1,1,2,24,3,2,2,7,1,1,2,2,1,2,2,2,2,1,2,1,1,1,1,2,2,2022-03-31 12:03:36.212000,2022-03-31 12:10:17.949000,2022-03-31 12:10:12.695000,1770040611.0,0.753760928886404
1,1,.,.,2,2,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,2,2,4,5,6,2,5,2,2,5,1,4,26.0,77.0,1,4,1,1,1,2,1,3,1,2,1,1,1,1,1,1,2,1945.0,76.0,4,1,1,5,3,4,2,12,3,3,1,5,10,3,2,2,2,1,2,2,2,1,1,4,6,2,7,10,1,2022-03-31 11:50:25.306000,2022-03-31 12:11:02.849000,2022-03-31 12:10:55.301000,1770036089.0,0.915079515788482
.,.,2,2,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,2,2,2,2,4,5,5,1,2,3,4,4,2,2,77.0,43.0,4,2,2,1,2,2,1,2,3,4,1,1,2,6,1,2,2,1983.0,38.0,2,1,1,2,1,6,1,26,2,4,2,7,2,1,2,2,2,2,1,2,1,2,2,2,6,2,2,2,2,2022-03-31 11:50:04.068000,2022-03-31 12:11:59.994000,2022-03-31 12:11:53.926000,1770036043.0,1.5113352680145
.,.,2,2,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,2,2,2,2,4,5,6,3,2,5,5,4,4,2,46.0,61.0,5,3,2,1,2,2,1,5,2,3,2,2,3,4,2,6,1,1976.0,45.0,3,1,1,5,3,5,2,42,1,3,1,1,7,2,2,2,2,1,2,2,2,1,1,4,6,2,7,9,2,2022-03-31 11:55:21.883000,2022-03-31 12:14:12.335000,2022-03-31 12:14:08.943000,1770039235.0,0.791646654904708
1,1,.,.,2,2,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,2,2,4,5,6,5,5,3,2,4,2,2,25.0,73.0,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1955.0,66.0,4,1,1,3,2,4,2,6,4,2,2,5,5,1,2,2,2,1,2,2,2,1,2,4,6,2,7,5,1,2022-03-31 11:57:01.156000,2022-03-31 12:14:37.285000,2022-03-31 12:14:34.371000,1770039399.0,1.27573095229255
.,.,2,2,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,2,2,2,2,4,5,6,3,2,5,4,5,3,2,85.0,66.0,5,5,2,1,2,2,1,2,3,5,1,1,2,7,1,2,2,1947.0,74.0,4,1,1,5,3,1,2,12,3,2,1,5,8,2,2,2,2,1,2,2,2,1,2,1,4,1,1,5,2,2022-03-31 11:57:34.267000,2022-03-31 12:15:37.304000,2022-03-31 12:15:32.894000,1770039447.0,1.01147406057445
2,1,.,.,2,1,2,1,.,.,1,1,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,2,.,.,2,1,2,1,3,2,5,3,3,3,3,2,4,4,45.0,76.0,2,3,1,2,1,2,2,1,2,3,1,1,3,3,1,1,1,1998.0,23.0,1,1,1,2,1,5,2,34,1,2,1,1,3,1,2,2,2,2,1,2,2,1,2,2,2,2,5,5,1,2022-03-31 12:13:30.640000,2022-03-31 12:16:05.915000,2022-03-31 12:16:03.492000,1770051855.0,0.793124230679656
.,.,1,2,2,1,.,.,2,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,1,1,2,2,2,1,4,9,1,5,2,2,4,1,4,39.0,95.0,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1957.0,64.0,3,1,1,5,3,3,2,39,2,2,1,5,97,4,2,2,2,2,1,1,2,2,2,1,5,1,3,1,2,2022-03-31 11:56:23.823000,2022-03-31 12:17:09.798000,2022-03-31 12:17:09.038000,1770039339.0,0.904060541608862
2,2,.,.,2,1,2,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,3,1,2,1,4,1,4,2,2,2,3,4,2,2,8.0,11.0,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1992.0,30.0,2,1,1,5,3,1,1,28,3,3,1,1,8,2,2,2,2,2,1,1,2,2,2,4,5,1,6,2,1,2022-03-31 12:09:01.586000,2022-03-31 12:17:16.061000,2022-03-31 12:17:15.905000,1770051475.0,1.01367443686779
.,.,1,1,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,3,2,2,2,5,5,5,1,1,3,3,4,3,2,51.0,61.0,1,2,1,1,1,1,1,5,2,3,1,1,3,3,1,1,2,1949.0,73.0,4,1,1,5,3,1,2,12,3,2,1,5,7,2,2,2,2,1,2,2,2,1,2,1,4,1,1,1,2,2022-03-31 12:02:36.873000,2022-03-31 12:18:21.577000,2022-03-31 12:18:16.283000,1770040515.0,0.761778918687555
1,1,.,.,2,2,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,3,3,3,2,4,1,6,2,3,3,3,2,3,3,38.0,76.0,3,3,1,1,1,2,2,4,1,2,1,1,1,1,1,1,1,1953.0,68.0,4,2,2,3,2,5,2,17,2,1,1,5,3,1,2,2,2,1,1,2,2,1,2,2,5,2,1,1,1,2022-03-31 12:07:09.311000,2022-03-31 12:18:31.170000,2022-03-31 12:18:30.867000,1770047539.0,0.886692435932774
1,1,.,.,2,1,1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,1,2,.,.,4,3,2,3,2,4,5,3,3,3,2,3,4,3,48.0,65.0,1,3,2,2,2,2,3,2,3,4,1,1,3,3,1,2,2,1981.0,40.0,2,1,1,3,2,1,1,12,3,1,1,3,4,1,2,2,2,2,1,2,2,1,2,3,3,2,3,12,1,2022-03-31 12:15:59.463000,2022-03-31 12:18:56.169000,2022-03-31 12:18:52.346000,1770052089.0,1.16402196539475
.,.,1,1,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,2,2,2,2,2,4,5,4,5,4,4,3,3,2,4,26.0,60.0,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1938.0,84.0,4,1,1,2,1,4,2,36,1,2,1,5,97,4,2,2,2,2,1,2,2,1,2,4,6,1,7,10,2,2022-03-31 11:58:27.359000,2022-03-31 12:20:05.883000,2022-03-31 12:20:05.130000,1770039555.0,1.2368915304198
.,.,2,2,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,2,2,2,2,1,1,1,1,3,4,3,3,1,4,100.0,37.0,5,2,2,2,2,2,2,5,3,5,1,1,2,7,1,2,2,1955.0,67.0,4,1,1,2,1,1,2,21,3,4,1,5,97,4,2,2,2,2,1,2,2,1,2,1,5,1,1,12,2,2022-03-31 12:05:48.864000,2022-03-31 12:21:39.406000,2022-03-31 12:21:38.730000,1770042051.0,1.04962213518724
2,1,.,.,1,2,1,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,2,2,2,4,5,5,4,4,4,5,5,2,2,100.0,51.0,5,3,2,1,2,2,1,2,3,5,1,1,2,7,1,2,2,1950.0,72.0,4,1,1,5,3,1,2,17,2,1,1,5,97,4,2,2,2,2,1,2,2,1,2,2,5,2,5,2,1,2022-03-31 11:59:14.866000,2022-03-31 12:23:12.370000,2022-03-31 12:23:11.552000,1770039617.0,1.31474922989668
.,.,1,2,2,1,.,.,2,2,.,.,2,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,4,2,3,2,4,5,6,1,5,1,5,3,1,5,0.0,100.0,3,1,3,1,1,2,1,3,1,1,1,1,3,3,1,1,2,1994.0,28.0,1,6,4,3,2,1,2,51,3,4,2,7,8,2,2,1,2,2,2,2,2,1,2,2,5,2,2,5,2,2022-03-31 12:15:41.342000,2022-03-31 12:23:23.700000,2022-03-31 12:23:21.496000,1770052067.0,0.531500898561867
2,1,.,.,2,1,1,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,3,1,2,3,2,7,3,2,3,4,4,3,3,52.0,63.0,3,3,2,1,2,2,4,1,3,5,1,1,2,7,1,1,2,1997.0,25.0,1,1,1,5,3,1,1,54,3,1,1,.,6,2,2,1,2,2,2,1,2,2,1,1,2,1,2,3,1,2022-03-31 12:13:50.199000,2022-03-31 12:23:43.984000,2022-03-31 12:23:43.803000,1770051885.0,0.622887445536659
.,.,1,2,2,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,2,2,2,2,4,1,6,3,3,3,4,4,2,3,52.0,52.0,4,1,3,1,1,2,4,4,2,3,2,2,3,4,2,6,2,1955.0,66.0,4,1,1,3,2,1,2,45,3,3,1,2,97,4,2,2,2,2,1,2,2,1,2,2,5,2,1,12,2,2022-03-31 11:56:35.735000,2022-03-31 12:24:17.470000,2022-03-31 12:24:16.766000,1770039367.0,0.838359776606962
2,2,.,.,1,2,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,1,2,4,3,4,2,2,2,2,2,2,2,100.0,30.0,5,1,1,1,1,2,1,3,3,5,1,1,2,7,1,2,2,1956.0,65.0,4,1,1,2,1,1,2,56,4,4,1,5,6,2,2,2,2,1,2,2,2,1,1,1,3,2,1,1,1,2022-03-31 12:04:56.112000,2022-03-31 12:24:43.856000,2022-03-31 12:24:39.575000,1769898769.0,1.10660682117587
2,2,.,.,1,1,2,1,.,.,2,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,3,3,3,4,5,4,3,2,3,3,4,3,1,53.0,40.0,4,2,1,1,1,2,3,3,2,3,2,2,3,5,2,6,2,1971.0,50.0,3,1,1,5,3,1,2,51,3,2,1,3,11,3,2,2,2,2,1,2,2,1,2,4,6,2,7,11,1,2022-03-31 11:57:37.596000,2022-03-31 12:24:59.775000,2022-03-31 12:24:54.194000,1770039457.0,0.981296426639402
.,.,2,2,1,1,.,.,2,1,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,2,2,1,1,2,1,4,7,2,3,2,4,3,2,3,46.0,49.0,2,2,3,1,1,2,3,5,4,6,1,1,5,5,2,6,2,1988.0,33.0,2,1,1,5,3,5,1,26,2,4,2,7,6,2,2,2,2,2,1,2,2,1,2,2,5,2,6,11,2,2022-03-31 12:12:28.522000,2022-03-31 12:25:00.785000,2022-03-31 12:24:57.297000,1770051765.0,1.28935235115069
.,.,2,2,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,5,2,2,2,5,4,7,2,3,3,3,3,2,3,48.0,75.0,3,3,3,1,1,2,2,2,4,6,3,2,3,4,2,6,2,1979.0,42.0,2,1,1,2,1,5,2,32,4,1,2,2,7,2,2,2,2,1,2,2,2,1,2,4,6,2,7,11,2,2022-03-31 11:57:41.353000,2022-03-31 12:27:26.191000,2022-03-31 12:27:25.871000,1769983155.0,1.09470971057737
.,.,1,1,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,.,.,.,.,2,2,2,1,2,2,3,1,6,3,3,3,3,3,3,3,51.0,54.0,3,3,3,1,1,2,3,5,2,3,1,1,2,7,1,2,2,1937.0,84.0,4,1,1,3,2,4,2,45,3,4,3,5,97,4,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2022-03-31 12:05:51.087000,2022-03-31 12:27:32.287000,2022-03-31 12:27:24.962000,1770042195.0,1.07519790218097
