Q1A,Q2A,Q1B,Q2B,Q3A,Q4A,Q3B,Q4B,Q5A,Q6A,Q5B,Q6B,Q7A,Q8A,Q7B,Q8B,Q9A,Q10A,Q9B,Q10B,Q11A,Q12A,Q11B,Q12B,Q13A,Q14A,Q13B,Q14B,Q15A,Q16A,Q15B,Q16B,Q17A,Q18A,Q17B,Q18B,Q19A,Q20A,Q19B,Q20B,Q21A,Q22A,Q21B,Q22B,Q23A,Q24A,Q23B,Q24B,Q41A,Q42A,Q41B,Q42B,Q43A,Q44A,Q43B,Q44B,Q38,Q25,Q26,Q27,Q28,Q29,Q39,Q40,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q45,Q46,newsint,cablenews,ideo3,ideo5,votereg,votereg2,pid3,pid7,turnout20post,presvote20post,gender,birthyr,age,age4,race,race4,educ,educ4,marstat,child18,inputstate,region,urbancity,acsownrent,employstat2,faminc,income3,milstat_1,milstat_2,milstat_3,milstat_4,milstat_5,union_hhold_1,union_hhold_2,union_hhold_3,volunteer,pew_religimp,pew_churatd,pew_bornagain,pew_prayer,religpew,rand_ab,starttime,endtime,lastmodified,caseid,weight
1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,5,2,2,2,4,5,6,2,5,3,2,4,4,26.0,82.0,2,1,1,3,1,2,1,1,1,1,1,1,2,1947.0,74.0,4,1,1,3,2,3,2,53,4,2,1,3,8,2,.,.,.,.,1,.,.,1,1,3,5,2,5,1,1,2021-04-07 19:22:11.802000,2021-04-07 19:53:40.297000,2021-04-07 19:53:29.680000,1414723867.0,0.750115455485073
2,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,3,2,2,2,4,5,7,2,2,4,2,5,2,50.0,77.0,5,1,1,1,3,4,1,1,3,3,1,1,1,1942.0,79.0,4,1,1,3,2,1,2,47,3,2,1,3,8,2,.,.,1,1,.,.,.,1,1,1,5,1,1,1,1,2021-04-07 19:40:04.744000,2021-04-07 19:54:27.302000,2021-04-07 19:54:26.478000,1415476869.0,0.674079329651207
.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,5,2,2,2,4,5,6,1,5,3,3,5,5,100.0,51.0,5,5,1,2,3,5,1,1,2,7,1,2,1,1943.0,77.0,4,1,1,6,4,1,1,6,4,1,1,1,12,3,2,2,2,1,2,2,2,1,1,2,4,1,2,1,2,2021-04-07 19:27:30.734000,2021-04-07 19:54:27.941000,2021-04-07 19:54:27.259000,1415831823.0,0.701277730171805
2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,4,2,2,2,4,4,6,3,3,3,3,2,3,87.0,79.0,3,3,3,1,2,3,1,1,1,1,1,2,1,1995.0,26.0,1,1,1,5,3,1,1,6,4,1,2,1,13,3,.,.,.,.,1,.,.,1,1,2,2,2,3,6,1,2021-04-07 19:28:35.310000,2021-04-07 19:54:34.764000,2021-04-07 19:54:34.574000,1415831969.0,0.645058145862123
2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,5,2,2,2,4,5,5,3,5,2,3,5,5,76.0,51.0,5,3,1,2,3,4,1,1,2,6,1,2,1,1953.0,68.0,4,1,1,5,3,1,2,16,4,2,1,5,12,3,.,.,1,.,.,.,.,1,2,3,5,2,6,2,1,2021-04-07 19:42:33.739000,2021-04-07 19:55:19.671000,2021-04-07 19:55:15.112000,1415853473.0,0.648828200429157
.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,1,.,.,1,1,4,2,2,2,4,5,6,2,5,2,2,5,5,30.0,97.0,4,3,1,4,1,2,1,1,1,1,1,1,1,1961.0,59.0,3,1,1,6,4,1,2,48,3,1,1,5,14,3,2,2,2,1,2,2,2,1,1,3,5,2,6,1,2,2021-04-07 19:45:04.914000,2021-04-07 19:55:35.650000,2021-04-07 19:55:35.030000,1415853773.0,0.742989236384999
2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,4,2,2,2,4,5,7,4,3,2,2,3,3,51.0,48.0,2,2,2,5,2,3,1,1,3,4,2,6,2,1951.0,70.0,4,1,1,3,2,3,2,41,4,2,2,5,3,1,.,.,1,1,.,2,2,1,2,2,6,2,6,3,1,2021-04-07 19:42:18.650000,2021-04-07 19:55:58.959000,2021-04-07 19:55:54.923000,1414982019.0,0.98494324439448
.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,5,3,2,2,4,5,6,1,3,3,2,3,3,0.0,26.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1959.0,61.0,3,1,1,6,4,5,2,13,3,1,2,1,6,2,.,.,.,1,.,2,2,1,2,3,6,2,6,1,2,2021-04-07 19:37:28.729000,2021-04-07 19:56:55.804000,2021-04-07 19:56:55.225000,1415836017.0,0.742989236384999
.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,2,2,2,2,4,1,9,1,1,1,1,1,1,98.0,97.0,1,2,2,3,1,2,1,1,2,6,1,1,2,1959.0,61.0,3,1,1,2,1,4,2,36,1,2,2,1,7,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2021-04-07 19:54:59.457000,2021-04-07 19:58:40.053000,2021-04-07 19:58:36.481000,1415863523.0,0.876730067625621
.,.,2,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,5,2,1,1,4,5,6,1,2,3,1,1,2,51.0,75.0,1,1,1,1,2,3,1,1,1,1,1,1,1,1961.0,59.0,3,1,1,5,3,1,2,48,3,1,1,5,10,3,.,.,.,1,.,.,.,1,2,2,4,2,2,2,2,2021-04-07 19:42:00.883000,2021-04-07 19:58:51.913000,2021-04-07 19:58:51.024000,1414923903.0,0.68742004549868
1,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,5,2,2,2,2,5,5,2,5,2,2,4,3,76.0,39.0,4,3,3,5,3,4,1,1,4,5,1,2,2,1965.0,55.0,3,1,1,5,3,2,1,17,2,2,1,1,5,1,2,2,2,2,1,2,2,1,1,1,2,1,1,11,1,2021-04-07 18:52:49.626000,2021-04-07 19:59:10.562000,2021-04-07 19:58:51.854000,1415753261.0,0.936258466819329
1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,1,2,.,.,3,2,2,2,4,5,6,3,5,2,4,4,4,55.0,60.0,5,5,1,5,2,3,1,1,3,4,1,3,2,1959.0,61.0,3,1,1,6,4,1,2,26,2,3,1,1,13,3,2,2,2,1,2,2,2,1,1,2,5,2,3,2,1,2021-04-07 19:43:02.073000,2021-04-07 19:59:34.630000,2021-04-07 19:59:20.324000,1415753253.0,1.16759390203871
1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,5,2,2,2,4,5,5,3,5,4,1,5,2,94.0,76.0,5,5,1,5,3,5,1,1,3,5,1,2,2,1944.0,76.0,4,1,1,5,3,5,2,26,2,1,1,5,97,4,.,.,.,.,1,2,2,1,2,1,3,2,1,2,1,2021-04-07 19:39:39.615000,2021-04-07 20:02:07.938000,2021-04-07 20:02:07.138000,1415842855.0,1.06865107306019
.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,5,2,2,2,4,5,5,1,4,4,1,3,5,99.0,55.0,5,2,1,4,3,5,1,1,2,7,1,2,1,1944.0,76.0,4,1,1,5,3,4,2,40,3,2,1,5,2,1,.,.,.,1,.,.,.,1,2,1,6,2,3,1,2,2021-04-07 19:32:04.441000,2021-04-07 20:02:09.918000,2021-04-07 20:02:08.972000,1415832397.0,0.808445037078826
1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,1,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,5,2,2,2,4,5,6,2,5,2,3,4,4,47.0,76.0,4,2,1,5,2,3,1,1,1,1,1,1,2,1934.0,86.0,4,1,1,3,2,1,2,27,2,3,1,5,5,1,.,.,.,.,1,.,.,1,1,1,2,2,1,1,1,2021-04-07 18:55:02.981000,2021-04-07 20:02:23.164000,2021-04-07 20:02:10.080000,1415796711.0,0.749300760481178
1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,3,2,2,2,5,5,7,1,2,4,1,1,1,54.0,98.0,2,1,2,1,1,2,1,1,1,2,1,1,1,1978.0,42.0,2,1,1,3,2,2,1,19,2,5,2,.,3,1,.,.,1,1,.,.,.,1,1,4,5,2,7,11,1,2021-04-07 19:40:22.806000,2021-04-07 20:02:32.759000,2021-04-07 20:02:32.212000,1415847157.0,0.713455423932191
2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,1,3,3,3,1,5,5,5,3,3,3,3,3,50.0,52.0,3,3,3,5,2,3,1,1,1,1,1,1,2,1955.0,65.0,4,1,1,2,1,1,2,48,3,4,1,1,4,1,.,.,.,.,1,.,.,1,2,1,2,1,1,3,1,2021-04-07 19:26:37.630000,2021-04-07 20:02:40.626000,2021-04-07 20:01:37.729000,1415831235.0,0.832841293387187
2,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,5,2,2,2,4,4,6,2,5,2,4,5,5,63.0,65.0,5,2,1,2,3,4,1,1,2,6,1,2,1,1954.0,66.0,4,1,1,3,2,1,2,12,3,3,1,5,97,4,2,2,2,1,2,2,2,1,2,1,3,1,3,1,1,2021-04-07 19:45:49.638000,2021-04-07 20:03:09.151000,2021-04-07 20:03:02.184000,1414300735.0,0.766787294127973
.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,1,4,2,2,2,4,5,6,2,4,4,1,3,2,30.0,71.0,2,1,1,5,1,2,1,1,1,1,1,1,1,1987.0,33.0,2,1,1,6,4,1,1,37,3,2,2,1,12,3,.,1,.,1,.,.,.,1,2,1,3,2,3,1,2,2021-04-07 19:56:32.799000,2021-04-07 20:03:28.199000,2021-04-07 20:03:27.401000,1415863707.0,0.658327575773256
.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,5,2,2,2,4,5,5,4,4,3,3,4,3,88.0,52.0,5,3,2,5,3,4,1,1,2,7,1,2,1,1965.0,55.0,3,1,1,5,3,3,2,1,3,3,1,1,7,2,.,1,.,1,.,.,.,1,2,1,1,1,3,1,2,2021-04-07 17:47:53.948000,2021-04-09 13:40:06.485000,2021-04-09 13:40:05.633000,1415602233.0,0.891173910335564
2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,1,.,.,5,2,2,2,4,5,5,1,5,2,3,5,5,76.0,56.0,5,5,2,2,3,4,1,1,3,5,1,2,1,1947.0,73.0,4,1,1,3,2,6,2,36,1,4,1,5,5,1,2,2,1,1,2,.,.,1,1,2,5,2,5,11,1,2021-04-07 17:52:15.860000,2021-04-08 01:42:28.080000,2021-04-08 01:42:10.183000,1414899455.0,0.642009720558633
.,.,1,2,.,.,1,.,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,4,2,2,2,4,5,4,2,5,3,3,5,4,26.0,66.0,2,2,1,3,1,2,1,1,1,1,1,1,1,1945.0,75.0,4,1,1,3,2,3,2,12,3,1,2,5,3,1,.,.,1,1,.,.,.,1,2,4,6,2,7,10,2,2021-04-07 17:56:37.459000,2021-04-07 21:01:27.342000,2021-04-07 21:01:21.299000,1415740363.0,0.674079329651207
2,1,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,2,.,.,1,2,.,.,4,2,2,2,4,5,4,2,5,2,2,5,3,94.0,66.0,5,5,1,2,3,5,1,1,2,7,1,2,1,1935.0,85.0,4,1,1,3,2,1,2,53,4,2,1,5,11,3,.,.,1,1,.,.,.,1,2,3,6,2,6,3,1,2021-04-07 18:03:15.524000,2021-04-07 21:33:12.774000,2021-04-07 21:33:12.036000,1415006681.0,0.615395230773724
.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,5,2,2,2,4,5,5,1,5,3,2,5,5,18.0,99.0,1,3,1,5,1,2,1,1,1,1,1,1,1,1975.0,46.0,3,1,1,6,4,1,1,6,4,1,1,1,12,3,.,.,.,.,1,1,.,.,2,4,6,2,5,2,2,2021-04-07 16:16:33.196000,2021-04-12 23:17:57.320000,2021-04-12 23:17:56.034000,1414045787.0,0.806006988654265
2,2,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,5,2,2,2,4,5,5,1,5,1,4,5,5,61.0,56.0,5,5,1,5,2,3,1,1,2,7,1,2,2,1955.0,65.0,4,1,1,5,3,1,2,32,4,2,1,5,97,4,.,.,.,1,.,.,.,1,1,3,5,2,2,2,1,2021-04-07 17:49:00.069000,2021-04-10 15:37:18.877000,2021-04-10 15:37:18.253000,1414844423.0,0.732476619824842
.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,1,.,.,1,1,.,.,1,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,5,2,2,2,4,5,6,1,2,5,1,1,1,2.0,80.0,1,1,1,5,1,1,1,1,1,1,1,1,1,1991.0,29.0,1,4,4,5,3,1,2,36,1,1,2,1,10,3,.,.,.,.,1,.,.,1,1,4,6,2,7,9,2,2021-04-07 19:54:04.419000,2021-04-07 20:04:17.241000,2021-04-07 20:04:17.063000,1415863403.0,0.957342119574684
.,.,1,2,.,.,1,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,5,2,2,2,4,5,5,2,2,3,3,2,3,25.0,66.0,1,1,2,1,1,1,1,1,1,1,1,1,2,1993.0,27.0,1,1,1,5,3,5,2,17,2,1,2,1,10,3,2,2,2,2,1,2,2,1,1,4,5,2,6,2,2,2021-04-07 17:53:03.095000,2021-04-08 01:14:27.766000,2021-04-08 01:14:21.736000,1415738365.0,0.880724840628885
1,2,.,.,2,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,2,.,.,1,2,.,.,1,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,5,2,2,2,4,5,5,4,4,3,3,2,4,13.0,90.0,2,2,1,1,1,2,1,1,4,3,1,1,1,1952.0,68.0,4,1,1,5,3,6,2,17,2,1,2,5,8,2,2,2,2,2,1,.,.,1,2,4,6,2,3,11,1,2021-04-07 18:14:43.657000,2021-04-07 20:05:18.508000,2021-04-07 20:05:00.516000,1415749093.0,0.675763254179895
.,.,2,1,.,.,2,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,1,1,.,.,2,1,4,2,2,2,4,5,6,1,3,5,2,3,2,15.0,85.0,4,1,1,3,1,2,1,1,1,1,1,1,1,1951.0,69.0,4,1,1,5,3,1,2,26,2,3,1,5,14,3,.,.,.,1,.,2,2,1,1,4,6,2,7,9,2,2021-04-07 19:48:21.939000,2021-04-07 20:05:09.017000,2021-04-07 20:05:08.425000,1415860207.0,0.675763254179895
1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,3,2,2,2,4,5,4,4,5,2,2,4,5,66.0,52.0,5,4,1,5,2,3,1,1,3,3,1,1,1,1941.0,80.0,4,1,1,5,3,1,2,53,4,2,2,5,7,2,2,2,1,2,2,2,2,1,1,2,5,1,2,1,1,2021-04-07 19:27:11.777000,2021-04-07 20:05:59.837000,2021-04-07 20:05:41.319000,1415831761.0,0.676497993787848
1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,1,1,.,.,3,2,2,2,4,5,6,2,5,2,2,5,5,15.0,73.0,2,5,1,4,1,1,2,2,1,1,1,1,1,1982.0,38.0,2,1,1,5,3,1,1,26,2,2,1,1,11,3,.,.,.,.,1,.,.,1,1,4,6,2,7,10,1,2021-04-07 19:55:13.505000,2021-04-07 20:06:33.066000,2021-04-07 20:06:32.511000,1415863551.0,0.660033626307641
1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,4,2,2,2,4,5,6,4,2,2,4,3,4,16.0,74.0,2,2,1,1,1,2,1,1,1,1,1,1,1,1996.0,25.0,1,1,1,6,4,5,2,19,2,1,2,.,3,1,.,.,.,.,1,.,.,1,2,4,6,2,7,10,1,2021-04-07 20:00:11.311000,2021-04-07 20:06:23.168000,2021-04-07 20:06:22.451000,1415864159.0,0.726146166311879
.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,.,.,.,1,1,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,4,2,2,2,4,4,6,3,5,2,3,5,5,51.0,72.0,3,1,1,3,2,3,1,1,3,4,1,1,1,1946.0,75.0,4,8,4,3,2,1,2,9,1,1,1,5,9,2,.,.,1,.,.,.,.,1,2,2,4,2,2,2,2,2021-04-07 19:46:20.585000,2021-04-07 20:06:59.947000,2021-04-07 20:06:43.657000,1414847721.0,1.27847814617827
1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,1,.,.,1,2,.,.,2,2,.,.,1,1,.,.,5,2,2,2,4,5,6,3,5,3,4,4,5,18.0,68.0,3,2,1,1,1,2,1,1,1,1,1,1,2,1953.0,68.0,4,1,1,6,4,1,2,47,3,2,1,5,97,4,.,.,.,.,1,.,.,1,1,2,5,2,2,2,1,2021-04-07 19:51:20.136000,2021-04-07 20:07:46.239000,2021-04-07 20:07:37.995000,1415009957.0,0.802885183606899
.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,1,.,.,1,2,4,1,2,3,2,4,4,1,5,2,3,1,3,100.0,100.0,3,5,1,2,3,5,1,1,1,1,1,1,1,1988.0,32.0,2,1,1,5,3,1,1,4,4,1,1,1,8,2,2,2,2,2,1,2,2,1,1,1,2,1,3,2,2,2021-04-07 19:39:19.130000,2021-04-07 20:08:29.838000,2021-04-07 20:08:24.662000,1415841403.0,0.660751263505031
1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,4,2,2,2,4,5,6,1,5,2,1,2,4,41.0,76.0,4,1,2,1,1,2,1,1,3,3,1,1,1,1994.0,26.0,1,1,1,5,3,5,2,6,4,2,3,3,97,4,.,.,.,.,1,.,.,1,2,4,6,2,7,10,1,2021-04-07 20:02:45.999000,2021-04-07 20:09:06.710000,2021-04-07 20:09:01.761000,1415867393.0,0.672567162252809
.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,5,2,2,2,5,4,5,1,4,2,2,2,4,57.0,71.0,2,1,1,3,1,2,2,2,1,1,1,1,2,1958.0,62.0,3,1,1,4,2,1,2,36,1,2,1,5,3,1,.,.,.,1,.,.,.,1,2,2,4,2,5,2,2,2021-04-07 19:57:25.231000,2021-04-07 20:09:23.970000,2021-04-07 20:09:19.307000,1415863827.0,0.727906302455327
.,.,2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,2,.,.,1,1,5,2,2,2,4,5,5,4,5,2,3,2,4,85.0,48.0,5,3,1,2,3,4,1,1,2,7,1,2,1,1940.0,81.0,4,1,1,5,3,4,2,6,4,2,1,1,15,3,.,.,1,1,.,.,.,1,1,2,5,2,3,12,2,2021-04-07 19:48:54.976000,2021-04-07 20:10:13.511000,2021-04-07 20:10:12.901000,1415860287.0,0.648828200429157
2,2,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,2,.,.,2,1,.,.,1,1,.,.,2,2,2,2,4,5,7,2,5,1,2,5,4,70.0,56.0,5,5,1,2,3,4,1,1,2,7,1,2,1,1947.0,73.0,4,1,1,3,2,1,2,13,3,2,1,5,9,2,.,.,.,.,1,.,.,1,1,3,6,2,6,5,1,2021-04-07 19:58:41.552000,2021-04-07 20:10:25.832000,2021-04-07 20:10:21.286000,1415863985.0,0.766787294127973
1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,1,1,.,.,5,2,2,2,4,5,5,1,5,2,3,5,4,76.0,67.0,5,4,1,2,3,5,1,1,3,5,1,2,1,1939.0,81.0,4,1,1,6,4,1,2,51,3,4,1,5,8,2,2,2,1,1,2,2,2,1,2,3,6,2,6,2,1,2021-04-07 19:50:46.712000,2021-04-07 20:10:56.092000,2021-04-07 20:10:46.477000,1415860525.0,0.873797563355451
2,1,.,.,2,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,2,2,.,.,2,1,.,.,2,2,.,.,1,1,.,.,5,2,2,2,5,5,5,3,4,2,4,3,4,53.0,74.0,4,3,1,5,2,3,1,1,3,3,1,1,1,1955.0,66.0,4,1,1,5,3,1,2,17,2,2,1,5,12,3,.,.,.,.,1,.,.,1,1,1,1,1,3,1,1,2021-04-07 19:57:18.460000,2021-04-07 20:11:33.553000,2021-04-07 20:11:29.724000,1415863811.0,0.675763254179895
2,1,.,.,1,1,.,.,2,1,.,.,2,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,1,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,1,1,.,.,3,3,3,1,1,4,7,3,4,4,4,4,4,69.0,77.0,3,4,1,1,1,1,1,1,1,2,1,2,1,1980.0,40.0,2,1,1,5,3,1,1,10,3,1,2,.,10,3,2,1,2,2,2,2,1,2,1,1,1,1,1,3,1,2021-04-07 20:08:43.601000,2021-04-07 20:11:35.848000,2021-04-07 20:11:31.060000,1415868935.0,0.789626997610472
1,2,.,.,1,1,.,.,2,2,.,.,2,2,.,.,1,2,.,.,2,2,.,.,2,2,.,.,1,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,1,1,.,.,2,2,.,.,5,2,2,2,4,5,6,4,5,3,2,3,4,27.0,76.0,2,1,1,3,1,2,1,1,1,1,1,1,2,1974.0,46.0,3,1,1,6,4,3,1,27,2,1,1,1,8,2,.,.,.,1,.,.,.,1,2,4,5,2,6,1,1,2021-04-07 19:57:43.096000,2021-04-07 20:12:25.246000,2021-04-07 20:12:21.705000,1415863877.0,0.762250328705437
2,1,.,.,2,2,.,.,1,2,.,.,1,2,.,.,2,2,.,.,2,1,.,.,2,1,.,.,2,1,.,.,1,2,.,.,2,2,.,.,2,1,.,.,1,1,.,.,2,2,.,.,2,2,.,.,3,1,1,2,2,4,10,1,3,3,2,3,3,46.0,53.0,3,3,2,5,2,3,1,1,1,2,1,1,1,1997.0,23.0,1,1,1,6,4,5,2,36,1,1,1,1,9,2,2,2,2,2,1,2,2,1,2,3,6,2,7,1,1,2021-04-07 20:07:54.436000,2021-04-07 20:12:59.369000,2021-04-07 20:12:59.249000,1415868023.0,0.805162469401039
